Date,Adj Close,Volume
2019-08-15,112.30000305175781,6050700
2019-08-16,110.4000015258789,5243690
2019-08-19,109.4000015258789,2674200
2019-08-20,109.23999786376953,3469970
2019-08-21,111.30000305175781,3821370
2019-08-22,110.0,8945990
2019-08-23,108.55999755859375,2898700
2019-08-26,109.37999725341797,1978040
2019-08-27,109.0199966430664,4410230
2019-08-28,109.4000015258789,4162070
2019-08-29,109.0,3432750
2019-08-30,109.73999786376953,8116195
2019-09-02,107.83999633789062,4235100
2019-09-03,106.5199966430664,7951500
2019-09-04,106.22000122070312,4767342
2019-09-05,105.86000061035156,2893430
2019-09-06,104.4800033569336,3339430
2019-09-09,106.37999725341797,3922110
2019-09-10,105.69999694824219,3030270
2019-09-11,106.5,2212680
2019-09-12,106.36000061035156,2041920
2019-09-13,106.45999908447266,1911640
2019-09-16,102.05999755859375,16981530
2019-09-17,102.5999984741211,9981720
2019-09-18,102.5,4094200
2019-09-19,101.9000015258789,5432800
2019-09-20,102.63999938964844,3178510
2019-09-23,102.36000061035156,2458320
2019-09-24,101.69999694824219,2246750
2019-09-25,102.0,2368500
2019-09-26,102.9800033569336,2996370
2019-09-27,103.4000015258789,4317550
2019-09-30,103.18000030517578,2514390
2019-10-01,103.5,2486060
2019-10-02,102.5999984741211,3317280
2019-10-03,100.33999633789062,4002680
2019-10-04,99.30000305175781,3442290
2019-10-07,99.26000213623047,3864270
2019-10-08,99.5,2359339
2019-10-09,100.0199966430664,3870110
2019-10-10,101.26000213623047,1591950
2019-10-11,100.18000030517578,1734220
2019-10-14,102.73999786376953,8480565
2019-10-15,103.19999694824219,5107670
2019-10-16,104.4800033569336,5000350
2019-10-17,105.23999786376953,4951660
2019-10-18,104.80000305175781,4701500
2019-10-21,104.80000305175781,2395570
2019-10-22,103.5,4845080
2019-10-23,103.5,3790650
2019-10-24,103.0,3577330
2019-10-25,102.80000305175781,2269920
2019-10-28,103.0,3193100
2019-10-29,104.5,5263610
2019-10-30,105.80000305175781,3975160
2019-10-31,106.9000015258789,7486430
2019-11-01,105.26000213623047,6917030
2019-11-05,106.04000091552734,4019060
2019-11-06,106.22000122070312,2434580
2019-11-07,106.33999633789062,2976880
2019-11-08,106.16000366210938,2327200
2019-11-11,104.58000183105469,3903610
2019-11-12,104.33999633789062,3547490
2019-11-13,104.0,2667260
2019-11-14,105.27999877929688,3149810
2019-11-15,105.4000015258789,2463560
2019-11-18,106.80000305175781,2828280
2019-11-19,106.0999984741211,1957180
2019-11-20,104.19999694824219,4832820
2019-11-21,104.45999908447266,1313800
2019-11-22,104.66000366210938,1775820
2019-11-25,105.5,2015170
2019-11-26,105.27999877929688,3955510
2019-11-27,105.41999816894531,1827830
2019-11-28,104.55999755859375,2049120
2019-11-29,102.83999633789062,6645560
2019-12-02,102.23999786376953,7032780
2019-12-03,100.69999694824219,4704750
2019-12-04,101.19999694824219,5457130
2019-12-05,102.18000030517578,1728720
2019-12-06,102.19999694824219,1047020
2019-12-09,103.08000183105469,1774270
2019-12-10,102.0199966430664,2851860
2019-12-11,103.94000244140625,7581010
2019-12-12,105.0999984741211,10698880
2019-12-13,104.9800033569336,4140800
